AirQualityStationEoICode,Concentration,DatetimeBegin
CH0002R,7.4,2013-01-01 00:00:00 +01:00
CH0002R,7.0,2013-01-02 00:00:00 +01:00
CH0002R,14.1,2013-01-03 00:00:00 +01:00
CH0002R,23.2,2013-01-04 00:00:00 +01:00
CH0002R,16.0,2013-01-05 00:00:00 +01:00
CH0002R,10.4,2013-01-06 00:00:00 +01:00
CH0002R,12.6,2013-01-07 00:00:00 +01:00
CH0002R,24.8,2013-01-08 00:00:00 +01:00
CH0002R,16.0,2013-01-09 00:00:00 +01:00
CH0002R,19.0,2013-01-10 00:00:00 +01:00
CH0002R,7.0,2013-01-11 00:00:00 +01:00
CH0002R,15.5,2013-01-12 00:00:00 +01:00
CH0002R,20.7,2013-01-13 00:00:00 +01:00
CH0002R,19.9,2013-01-14 00:00:00 +01:00
CH0002R,11.2,2013-01-15 00:00:00 +01:00
CH0002R,12.5,2013-01-16 00:00:00 +01:00
CH0002R,24.7,2013-01-17 00:00:00 +01:00
CH0002R,32.9,2013-01-18 00:00:00 +01:00
CH0002R,44.3,2013-01-19 00:00:00 +01:00
CH0002R,38.8,2013-01-20 00:00:00 +01:00
CH0002R,9.5,2013-01-21 00:00:00 +01:00
CH0002R,6.7,2013-01-22 00:00:00 +01:00
CH0002R,25.2,2013-01-23 00:00:00 +01:00
CH0002R,25.6,2013-01-24 00:00:00 +01:00
CH0002R,33.2,2013-01-25 00:00:00 +01:00
CH0002R,46.4,2013-01-26 00:00:00 +01:00
CH0002R,26.2,2013-01-27 00:00:00 +01:00
CH0002R,12.0,2013-01-28 00:00:00 +01:00
CH0002R,9.5,2013-01-29 00:00:00 +01:00
CH0002R,4.3,2013-01-30 00:00:00 +01:00
CH0002R,3.6,2013-01-31 00:00:00 +01:00
CH0002R,2.8,2013-02-01 00:00:00 +01:00
CH0002R,3.0,2013-02-02 00:00:00 +01:00
CH0002R,5.8,2013-02-03 00:00:00 +01:00
CH0002R,5.0,2013-02-04 00:00:00 +01:00
CH0002R,2.5,2013-02-05 00:00:00 +01:00
CH0002R,2.4,2013-02-06 00:00:00 +01:00
CH0002R,8.0,2013-02-07 00:00:00 +01:00
CH0002R,8.8,2013-02-08 00:00:00 +01:00
CH0002R,10.5,2013-02-09 00:00:00 +01:00
CH0002R,13.7,2013-02-10 00:00:00 +01:00
CH0002R,33.0,2013-02-11 00:00:00 +01:00
CH0002R,40.3,2013-02-12 00:00:00 +01:00
CH0002R,42.0,2013-02-13 00:00:00 +01:00
CH0002R,49.6,2013-02-14 00:00:00 +01:00
CH0002R,19.2,2013-02-15 00:00:00 +01:00
CH0002R,23.4,2013-02-16 00:00:00 +01:00
CH0002R,23.4,2013-02-17 00:00:00 +01:00
CH0002R,29.7,2013-02-18 00:00:00 +01:00
CH0002R,40.5,2013-02-19 00:00:00 +01:00
CH0002R,29.5,2013-02-20 00:00:00 +01:00
CH0002R,16.2,2013-02-21 00:00:00 +01:00
CH0002R,24.4,2013-02-22 00:00:00 +01:00
CH0002R,43.8,2013-02-23 00:00:00 +01:00
CH0002R,35.9,2013-02-24 00:00:00 +01:00
CH0002R,43.4,2013-02-25 00:00:00 +01:00
CH0002R,65.4,2013-02-26 00:00:00 +01:00
CH0002R,57.8,2013-02-27 00:00:00 +01:00
CH0002R,51.7,2013-02-28 00:00:00 +01:00
CH0002R,52.5,2013-03-01 00:00:00 +01:00
CH0002R,28.5,2013-03-02 00:00:00 +01:00
CH0002R,41.8,2013-03-03 00:00:00 +01:00
CH0002R,60.9,2013-03-04 00:00:00 +01:00
CH0002R,72.3,2013-03-05 00:00:00 +01:00
CH0002R,55.6,2013-03-06 00:00:00 +01:00
CH0002R,27.4,2013-03-07 00:00:00 +01:00
CH0002R,18.6,2013-03-08 00:00:00 +01:00
CH0002R,11.9,2013-03-09 00:00:00 +01:00
CH0002R,14.1,2013-03-10 00:00:00 +01:00
CH0002R,7.5,2013-03-11 00:00:00 +01:00
CH0002R,8.8,2013-03-12 00:00:00 +01:00
CH0002R,12.4,2013-03-13 00:00:00 +01:00
CH0002R,16.4,2013-03-14 00:00:00 +01:00
CH0002R,20.0,2013-03-15 00:00:00 +01:00
CH0002R,15.9,2013-03-16 00:00:00 +01:00
CH0002R,19.1,2013-03-17 00:00:00 +01:00
CH0002R,5.5,2013-03-18 00:00:00 +01:00
CH0002R,4.5,2013-03-19 00:00:00 +01:00
CH0002R,7.4,2013-03-20 00:00:00 +01:00
CH0002R,6.7,2013-03-21 00:00:00 +01:00
CH0002R,19.7,2013-03-22 00:00:00 +01:00
CH0002R,38.1,2013-03-23 00:00:00 +01:00
CH0002R,46.0,2013-03-24 00:00:00 +01:00
CH0002R,41.6,2013-03-25 00:00:00 +01:00
CH0002R,37.7,2013-03-26 00:00:00 +01:00
CH0002R,45.7,2013-03-27 00:00:00 +01:00
CH0002R,49.8,2013-03-28 00:00:00 +01:00
CH0002R,37.0,2013-03-29 00:00:00 +01:00
CH0002R,19.5,2013-03-30 00:00:00 +01:00
CH0002R,35.6,2013-03-31 00:00:00 +01:00
CH0002R,39.2,2013-04-01 00:00:00 +01:00
CH0002R,35.6,2013-04-02 00:00:00 +01:00
CH0002R,41.4,2013-04-03 00:00:00 +01:00
CH0002R,47.0,2013-04-04 00:00:00 +01:00
CH0002R,58.9,2013-04-05 00:00:00 +01:00
CH0002R,55.1,2013-04-06 00:00:00 +01:00
CH0002R,35.3,2013-04-07 00:00:00 +01:00
CH0002R,25.0,2013-04-08 00:00:00 +01:00
CH0002R,4.6,2013-04-09 00:00:00 +01:00
CH0002R,5.2,2013-04-10 00:00:00 +01:00
CH0002R,5.3,2013-04-11 00:00:00 +01:00
CH0002R,2.7,2013-04-12 00:00:00 +01:00
CH0002R,4.1,2013-04-13 00:00:00 +01:00
CH0002R,5.4,2013-04-14 00:00:00 +01:00
CH0002R,12.1,2013-04-15 00:00:00 +01:00
CH0002R,15.8,2013-04-16 00:00:00 +01:00
CH0002R,16.9,2013-04-17 00:00:00 +01:00
CH0002R,16.5,2013-04-18 00:00:00 +01:00
CH0002R,5.4,2013-04-19 00:00:00 +01:00
CH0002R,2.6,2013-04-20 00:00:00 +01:00
CH0002R,4.7,2013-04-21 00:00:00 +01:00
CH0002R,12.3,2013-04-22 00:00:00 +01:00
CH0002R,16.2,2013-04-23 00:00:00 +01:00
CH0002R,15.0,2013-04-24 00:00:00 +01:00
CH0002R,14.2,2013-04-25 00:00:00 +01:00
CH0002R,17.9,2013-04-26 00:00:00 +01:00
CH0002R,5.2,2013-04-27 00:00:00 +01:00
CH0002R,5.6,2013-04-28 00:00:00 +01:00
CH0002R,17.1,2013-04-29 00:00:00 +01:00
CH0002R,25.6,2013-04-30 00:00:00 +01:00
CH0002R,24.4,2013-05-01 00:00:00 +01:00
CH0002R,12.2,2013-05-02 00:00:00 +01:00
CH0002R,5.4,2013-05-03 00:00:00 +01:00
CH0002R,6.6,2013-05-04 00:00:00 +01:00
CH0002R,10.1,2013-05-05 00:00:00 +01:00
CH0002R,13.9,2013-05-06 00:00:00 +01:00
CH0002R,9.2,2013-05-07 00:00:00 +01:00
CH0002R,9.6,2013-05-08 00:00:00 +01:00
CH0002R,6.7,2013-05-09 00:00:00 +01:00
CH0002R,4.8,2013-05-10 00:00:00 +01:00
CH0002R,5.9,2013-05-11 00:00:00 +01:00
CH0002R,4.3,2013-05-12 00:00:00 +01:00
CH0002R,6.5,2013-05-13 00:00:00 +01:00
CH0002R,7.4,2013-05-14 00:00:00 +01:00
CH0002R,7.5,2013-05-15 00:00:00 +01:00
CH0002R,6.3,2013-05-16 00:00:00 +01:00
CH0002R,3.3,2013-05-17 00:00:00 +01:00
CH0002R,5.7,2013-05-18 00:00:00 +01:00
CH0002R,2.5,2013-05-19 00:00:00 +01:00
CH0002R,4.8,2013-05-20 00:00:00 +01:00
CH0002R,3.7,2013-05-21 00:00:00 +01:00
CH0002R,3.8,2013-05-22 00:00:00 +01:00
CH0002R,5.8,2013-05-23 00:00:00 +01:00
CH0002R,5.1,2013-05-24 00:00:00 +01:00
CH0002R,5.7,2013-05-25 00:00:00 +01:00
CH0002R,7.3,2013-05-26 00:00:00 +01:00
CH0002R,8.0,2013-05-27 00:00:00 +01:00
CH0002R,8.1,2013-05-28 00:00:00 +01:00
CH0002R,3.2,2013-05-29 00:00:00 +01:00
CH0002R,5.3,2013-05-30 00:00:00 +01:00
CH0002R,3.8,2013-05-31 00:00:00 +01:00
CH0002R,6.8,2013-06-01 00:00:00 +01:00
CH0002R,9.1,2013-06-02 00:00:00 +01:00
CH0002R,9.3,2013-06-03 00:00:00 +01:00
CH0002R,7.1,2013-06-04 00:00:00 +01:00
CH0002R,11.9,2013-06-05 00:00:00 +01:00
CH0002R,12.5,2013-06-06 00:00:00 +01:00
CH0002R,14.5,2013-06-07 00:00:00 +01:00
CH0002R,15.5,2013-06-08 00:00:00 +01:00
CH0002R,6.6,2013-06-09 00:00:00 +01:00
CH0002R,6.7,2013-06-10 00:00:00 +01:00
CH0002R,11.0,2013-06-11 00:00:00 +01:00
CH0002R,12.9,2013-06-12 00:00:00 +01:00
CH0002R,11.8,2013-06-13 00:00:00 +01:00
CH0002R,5.3,2013-06-14 00:00:00 +01:00
CH0002R,10.9,2013-06-15 00:00:00 +01:00
CH0002R,13.8,2013-06-16 00:00:00 +01:00
CH0002R,23.3,2013-06-17 00:00:00 +01:00
CH0002R,28.8,2013-06-18 00:00:00 +01:00
CH0002R,27.1,2013-06-19 00:00:00 +01:00
CH0002R,15.7,2013-06-20 00:00:00 +01:00
CH0002R,7.6,2013-06-21 00:00:00 +01:00
CH0002R,7.8,2013-06-22 00:00:00 +01:00
CH0002R,5.2,2013-06-23 00:00:00 +01:00
CH0002R,4.9,2013-06-24 00:00:00 +01:00
CH0002R,8.5,2013-06-25 00:00:00 +01:00
CH0002R,10.5,2013-06-26 00:00:00 +01:00
CH0002R,10.7,2013-06-27 00:00:00 +01:00
CH0002R,9.3,2013-06-28 00:00:00 +01:00
CH0002R,7.8,2013-06-29 00:00:00 +01:00
CH0002R,8.1,2013-06-30 00:00:00 +01:00
CH0002R,10.5,2013-07-01 00:00:00 +01:00
CH0002R,12.3,2013-07-02 00:00:00 +01:00
CH0002R,7.7,2013-07-03 00:00:00 +01:00
CH0002R,6.2,2013-07-04 00:00:00 +01:00
CH0002R,8.7,2013-07-05 00:00:00 +01:00
CH0002R,12.9,2013-07-06 00:00:00 +01:00
CH0002R,15.5,2013-07-07 00:00:00 +01:00
CH0002R,19.8,2013-07-08 00:00:00 +01:00
CH0002R,20.8,2013-07-09 00:00:00 +01:00
CH0002R,18.3,2013-07-10 00:00:00 +01:00
CH0002R,22.8,2013-07-11 00:00:00 +01:00
CH0002R,16.0,2013-07-12 00:00:00 +01:00
CH0002R,15.6,2013-07-13 00:00:00 +01:00
CH0002R,16.2,2013-07-14 00:00:00 +01:00
CH0002R,18.4,2013-07-15 00:00:00 +01:00
CH0002R,19.5,2013-07-16 00:00:00 +01:00
CH0002R,19.6,2013-07-17 00:00:00 +01:00
CH0002R,20.5,2013-07-18 00:00:00 +01:00
CH0002R,18.4,2013-07-19 00:00:00 +01:00
CH0002R,16.2,2013-07-20 00:00:00 +01:00
CH0002R,19.2,2013-07-21 00:00:00 +01:00
CH0002R,19.5,2013-07-22 00:00:00 +01:00
CH0002R,18.9,2013-07-23 00:00:00 +01:00
CH0002R,11.5,2013-07-24 00:00:00 +01:00
CH0002R,15.1,2013-07-25 00:00:00 +01:00
CH0002R,19.1,2013-07-26 00:00:00 +01:00
CH0002R,23.2,2013-07-27 00:00:00 +01:00
CH0002R,16.9,2013-07-28 00:00:00 +01:00
CH0002R,6.4,2013-07-29 00:00:00 +01:00
CH0002R,7.4,2013-07-30 00:00:00 +01:00
CH0002R,11.5,2013-07-31 00:00:00 +01:00
CH0002R,16.8,2013-08-01 00:00:00 +01:00
CH0002R,22.3,2013-08-02 00:00:00 +01:00
CH0002R,16.1,2013-08-03 00:00:00 +01:00
CH0002R,11.0,2013-08-04 00:00:00 +01:00
CH0002R,16.5,2013-08-05 00:00:00 +01:00
CH0002R,20.7,2013-08-06 00:00:00 +01:00
CH0002R,12.0,2013-08-07 00:00:00 +01:00
CH0002R,5.7,2013-08-08 00:00:00 +01:00
CH0002R,7.2,2013-08-09 00:00:00 +01:00
CH0002R,8.3,2013-08-10 00:00:00 +01:00
CH0002R,9.2,2013-08-11 00:00:00 +01:00
CH0002R,10.2,2013-08-12 00:00:00 +01:00
CH0002R,9.1,2013-08-13 00:00:00 +01:00
CH0002R,10.0,2013-08-14 00:00:00 +01:00
CH0002R,11.6,2013-08-15 00:00:00 +01:00
CH0002R,12.4,2013-08-16 00:00:00 +01:00
CH0002R,10.8,2013-08-17 00:00:00 +01:00
CH0002R,10.7,2013-08-18 00:00:00 +01:00
CH0002R,10.3,2013-08-19 00:00:00 +01:00
CH0002R,8.4,2013-08-20 00:00:00 +01:00
CH0002R,8.9,2013-08-21 00:00:00 +01:00
CH0002R,14.2,2013-08-22 00:00:00 +01:00
CH0002R,17.8,2013-08-23 00:00:00 +01:00
CH0002R,11.0,2013-08-24 00:00:00 +01:00
CH0002R,6.4,2013-08-25 00:00:00 +01:00
CH0002R,7.7,2013-08-26 00:00:00 +01:00
CH0002R,9.4,2013-08-27 00:00:00 +01:00
CH0002R,8.7,2013-08-28 00:00:00 +01:00
CH0002R,13.3,2013-08-29 00:00:00 +01:00
CH0002R,13.5,2013-08-30 00:00:00 +01:00
CH0002R,14.5,2013-08-31 00:00:00 +01:00
CH0002R,12.0,2013-09-01 00:00:00 +01:00
CH0002R,10.6,2013-09-02 00:00:00 +01:00
CH0002R,10.0,2013-09-03 00:00:00 +01:00
CH0002R,13.6,2013-09-04 00:00:00 +01:00
CH0002R,17.2,2013-09-05 00:00:00 +01:00
CH0002R,14.5,2013-09-06 00:00:00 +01:00
CH0002R,7.1,2013-09-07 00:00:00 +01:00
CH0002R,2.9,2013-09-08 00:00:00 +01:00
CH0002R,3.5,2013-09-09 00:00:00 +01:00
CH0002R,3.0,2013-09-10 00:00:00 +01:00
CH0002R,5.6,2013-09-11 00:00:00 +01:00
CH0002R,4.8,2013-09-12 00:00:00 +01:00
CH0002R,6.1,2013-09-13 00:00:00 +01:00
CH0002R,5.1,2013-09-14 00:00:00 +01:00
CH0002R,3.5,2013-09-15 00:00:00 +01:00
CH0002R,3.3,2013-09-16 00:00:00 +01:00
CH0002R,4.7,2013-09-17 00:00:00 +01:00
CH0002R,2.5,2013-09-18 00:00:00 +01:00
CH0002R,4.4,2013-09-19 00:00:00 +01:00
CH0002R,5.8,2013-09-20 00:00:00 +01:00
CH0002R,7.5,2013-09-21 00:00:00 +01:00
CH0002R,9.5,2013-09-22 00:00:00 +01:00
CH0002R,12.5,2013-09-23 00:00:00 +01:00
CH0002R,20.7,2013-09-24 00:00:00 +01:00
CH0002R,15.1,2013-09-25 00:00:00 +01:00
CH0002R,18.3,2013-09-26 00:00:00 +01:00
CH0002R,27.7,2013-09-27 00:00:00 +01:00
CH0002R,26.7,2013-09-28 00:00:00 +01:00
CH0002R,19.7,2013-09-29 00:00:00 +01:00
CH0002R,22.6,2013-09-30 00:00:00 +01:00
CH0002R,23.2,2013-10-01 00:00:00 +01:00
CH0002R,31.1,2013-10-02 00:00:00 +01:00
CH0002R,32.7,2013-10-03 00:00:00 +01:00
CH0002R,28.7,2013-10-04 00:00:00 +01:00
CH0002R,4.3,2013-10-05 00:00:00 +01:00
CH0002R,6.3,2013-10-06 00:00:00 +01:00
CH0002R,8.8,2013-10-07 00:00:00 +01:00
CH0002R,22.8,2013-10-08 00:00:00 +01:00
CH0002R,17.0,2013-10-09 00:00:00 +01:00
CH0002R,6.9,2013-10-10 00:00:00 +01:00
CH0002R,3.1,2013-10-11 00:00:00 +01:00
CH0002R,3.5,2013-10-12 00:00:00 +01:00
CH0002R,5.4,2013-10-13 00:00:00 +01:00
CH0002R,8.9,2013-10-14 00:00:00 +01:00
CH0002R,7.2,2013-10-15 00:00:00 +01:00
CH0002R,6.8,2013-10-16 00:00:00 +01:00
CH0002R,7.1,2013-10-17 00:00:00 +01:00
CH0002R,11.2,2013-10-18 00:00:00 +01:00
CH0002R,20.4,2013-10-19 00:00:00 +01:00
CH0002R,9.8,2013-10-20 00:00:00 +01:00
CH0002R,8.1,2013-10-21 00:00:00 +01:00
CH0002R,11.6,2013-10-22 00:00:00 +01:00
