AirQualityStationEoICode,Concentration,DatetimeBegin
GB0682A,17.92,2013-01-01 00:00:00 +01:00
GB0682A,29.29,2013-01-02 00:00:00 +01:00
GB0682A,28.83,2013-01-03 00:00:00 +01:00
GB0682A,22.04,2013-01-04 00:00:00 +01:00
GB0682A,23.83,2013-01-05 00:00:00 +01:00
GB0682A,27.25,2013-01-06 00:00:00 +01:00
GB0682A,27.25,2013-01-07 00:00:00 +01:00
GB0682A,35.02,2013-01-08 00:00:00 +01:00
GB0682A,23.42,2013-01-09 00:00:00 +01:00
GB0682A,37.58,2013-01-10 00:00:00 +01:00
GB0682A,41.54,2013-01-11 00:00:00 +01:00
GB0682A,30.83,2013-01-12 00:00:00 +01:00
GB0682A,26.75,2013-01-13 00:00:00 +01:00
GB0682A,29.09,2013-01-14 00:00:00 +01:00
GB0682A,19.25,2013-01-15 00:00:00 +01:00
GB0682A,36.97,2013-01-16 00:00:00 +01:00
GB0682A,55.06,2013-01-17 00:00:00 +01:00
GB0682A,43.38,2013-01-18 00:00:00 +01:00
GB0682A,29.63,2013-01-19 00:00:00 +01:00
GB0682A,20.46,2013-01-20 00:00:00 +01:00
GB0682A,39.13,2013-01-21 00:00:00 +01:00
GB0682A,49.29,2013-01-22 00:00:00 +01:00
GB0682A,49.13,2013-01-23 00:00:00 +01:00
GB0682A,37.33,2013-01-24 00:00:00 +01:00
GB0682A,56.25,2013-01-25 00:00:00 +01:00
GB0682A,33.44,2013-01-26 00:00:00 +01:00
GB0682A,26.27,2013-01-27 00:00:00 +01:00
GB0682A,30.79,2013-01-28 00:00:00 +01:00
GB0682A,22.04,2013-01-29 00:00:00 +01:00
GB0682A,32.86,2013-01-30 00:00:00 +01:00
GB0682A,39.0,2013-01-31 00:00:00 +01:00
GB0682A,25.68,2013-02-01 00:00:00 +01:00
GB0682A,12.33,2013-02-02 00:00:00 +01:00
GB0682A,27.33,2013-02-03 00:00:00 +01:00
GB0682A,,2013-02-04 00:00:00 +01:00
GB0682A,30.96,2013-02-05 00:00:00 +01:00
GB0682A,11.78,2013-02-06 00:00:00 +01:00
GB0682A,20.08,2013-02-07 00:00:00 +01:00
GB0682A,22.46,2013-02-08 00:00:00 +01:00
GB0682A,26.79,2013-02-09 00:00:00 +01:00
GB0682A,12.12,2013-02-10 00:00:00 +01:00
GB0682A,25.85,2013-02-11 00:00:00 +01:00
GB0682A,44.67,2013-02-12 00:00:00 +01:00
GB0682A,59.58,2013-02-13 00:00:00 +01:00
GB0682A,24.52,2013-02-14 00:00:00 +01:00
GB0682A,41.33,2013-02-15 00:00:00 +01:00
GB0682A,52.92,2013-02-16 00:00:00 +01:00
GB0682A,58.58,2013-02-17 00:00:00 +01:00
GB0682A,61.79,2013-02-18 00:00:00 +01:00
GB0682A,64.32,2013-02-19 00:00:00 +01:00
GB0682A,42.54,2013-02-20 00:00:00 +01:00
GB0682A,28.08,2013-02-21 00:00:00 +01:00
GB0682A,15.13,2013-02-22 00:00:00 +01:00
GB0682A,27.05,2013-02-23 00:00:00 +01:00
GB0682A,17.67,2013-02-24 00:00:00 +01:00
GB0682A,25.04,2013-02-25 00:00:00 +01:00
GB0682A,47.38,2013-02-26 00:00:00 +01:00
GB0682A,20.42,2013-02-27 00:00:00 +01:00
GB0682A,23.65,2013-02-28 00:00:00 +01:00
GB0682A,19.63,2013-03-01 00:00:00 +01:00
GB0682A,20.92,2013-03-02 00:00:00 +01:00
GB0682A,36.08,2013-03-03 00:00:00 +01:00
GB0682A,63.83,2013-03-04 00:00:00 +01:00
GB0682A,66.67,2013-03-05 00:00:00 +01:00
GB0682A,74.54,2013-03-06 00:00:00 +01:00
GB0682A,68.13,2013-03-07 00:00:00 +01:00
GB0682A,43.79,2013-03-08 00:00:00 +01:00
GB0682A,30.58,2013-03-09 00:00:00 +01:00
GB0682A,11.04,2013-03-10 00:00:00 +01:00
GB0682A,14.21,2013-03-11 00:00:00 +01:00
GB0682A,17.05,2013-03-12 00:00:00 +01:00
GB0682A,17.67,2013-03-13 00:00:00 +01:00
GB0682A,34.56,2013-03-14 00:00:00 +01:00
GB0682A,38.82,2013-03-15 00:00:00 +01:00
GB0682A,20.1,2013-03-16 00:00:00 +01:00
GB0682A,17.53,2013-03-17 00:00:00 +01:00
GB0682A,30.23,2013-03-18 00:00:00 +01:00
GB0682A,44.21,2013-03-19 00:00:00 +01:00
GB0682A,50.1,2013-03-20 00:00:00 +01:00
