AirQualityStationEoICode,Concentration,DatetimeBegin
HR0007A,123.304,2013-01-03 00:00:00 +01:00
HR0007A,47.557,2013-01-04 00:00:00 +01:00
HR0007A,26.939,2013-01-05 00:00:00 +01:00
HR0007A,28.785,2013-01-06 00:00:00 +01:00
HR0007A,38.735,2013-01-07 00:00:00 +01:00
HR0007A,67.173,2013-01-08 00:00:00 +01:00
HR0007A,92.456,2013-01-09 00:00:00 +01:00
HR0007A,46.711,2013-01-10 00:00:00 +01:00
HR0007A,36.015,2013-01-11 00:00:00 +01:00
HR0007A,35.691,2013-01-12 00:00:00 +01:00
HR0007A,55.561,2013-01-13 00:00:00 +01:00
HR0007A,60.832,2013-01-14 00:00:00 +01:00
HR0007A,33.084,2013-01-15 00:00:00 +01:00
HR0007A,33.351,2013-01-16 00:00:00 +01:00
HR0007A,54.18,2013-01-17 00:00:00 +01:00
HR0007A,69.724,2013-01-18 00:00:00 +01:00
HR0007A,127.377,2013-01-19 00:00:00 +01:00
HR0007A,98.699,2013-01-20 00:00:00 +01:00
HR0007A,63.791,2013-01-21 00:00:00 +01:00
HR0007A,64.454,2013-01-22 00:00:00 +01:00
HR0007A,31.562,2013-01-23 00:00:00 +01:00
HR0007A,57.196,2013-01-24 00:00:00 +01:00
HR0007A,71.373,2013-01-25 00:00:00 +01:00
HR0007A,62.988,2013-01-26 00:00:00 +01:00
HR0007A,99.29,2013-01-27 00:00:00 +01:00
HR0007A,53.898,2013-01-28 00:00:00 +01:00
HR0007A,37.79,2013-01-29 00:00:00 +01:00
HR0007A,45.95,2013-01-30 00:00:00 +01:00
HR0007A,92.568,2013-01-31 00:00:00 +01:00
HR0007A,12.748,2013-02-01 00:00:00 +01:00
HR0007A,34.591,2013-02-02 00:00:00 +01:00
HR0007A,27.658,2013-02-03 00:00:00 +01:00
HR0007A,39.002,2013-02-04 00:00:00 +01:00
HR0007A,32.379,2013-02-05 00:00:00 +01:00
HR0007A,58.464,2013-02-06 00:00:00 +01:00
HR0007A,24.473,2013-02-07 00:00:00 +01:00
HR0007A,30.815,2013-02-08 00:00:00 +01:00
HR0007A,44.964,2013-02-09 00:00:00 +01:00
HR0007A,44.611,2013-02-10 00:00:00 +01:00
HR0007A,63.439,2013-02-11 00:00:00 +01:00
HR0007A,25.333,2013-02-12 00:00:00 +01:00
HR0007A,77.729,2013-02-13 00:00:00 +01:00
HR0007A,117.033,2013-02-14 00:00:00 +01:00
HR0007A,90.398,2013-02-15 00:00:00 +01:00
HR0007A,66.102,2013-02-16 00:00:00 +01:00
HR0007A,51.376,2013-02-17 00:00:00 +01:00
HR0007A,43.54,2013-02-18 00:00:00 +01:00
HR0007A,36.945,2013-02-26 00:00:00 +01:00
HR0007A,49.05,2013-02-27 00:00:00 +01:00
HR0007A,38.594,2013-02-28 00:00:00 +01:00
HR0007A,44.884,2013-03-01 00:00:00 +01:00
HR0007A,57.172,2013-03-02 00:00:00 +01:00
HR0007A,54.067,2013-03-03 00:00:00 +01:00
HR0007A,89.468,2013-03-04 00:00:00 +01:00
HR0007A,72.58,2013-03-05 00:00:00 +01:00
HR0007A,22.405,2013-03-06 00:00:00 +01:00
HR0007A,89.468,2013-03-07 00:00:00 +01:00
HR0007A,72.58,2013-03-08 00:00:00 +01:00
HR0007A,36.172,2013-03-09 00:00:00 +01:00
HR0007A,39.358,2013-03-10 00:00:00 +01:00
HR0007A,54.669,2013-03-11 00:00:00 +01:00
HR0007A,34.14,2013-03-12 00:00:00 +01:00
HR0007A,33.75,2013-03-13 00:00:00 +01:00
HR0007A,33.165,2013-03-14 00:00:00 +01:00
HR0007A,42.576,2013-03-15 00:00:00 +01:00
HR0007A,34.807,2013-03-16 00:00:00 +01:00
HR0007A,21.885,2013-03-17 00:00:00 +01:00
