AirQualityStationEoICode,Concentration,DatetimeBegin
IE0137A,30.517521,2013-01-01 00:00:00 +01:00
IE0137A,9.758431,2013-01-02 00:00:00 +01:00
IE0137A,14.712974,2013-01-03 00:00:00 +01:00
IE0137A,10.806389,2013-01-04 00:00:00 +01:00
IE0137A,36.5537,2013-01-05 00:00:00 +01:00
IE0137A,16.204788,2013-01-06 00:00:00 +01:00
IE0137A,11.275682,2013-01-07 00:00:00 +01:00
IE0137A,67.510414,2013-01-08 00:00:00 +01:00
IE0137A,32.533051,2013-01-09 00:00:00 +01:00
IE0137A,49.054112,2013-01-10 00:00:00 +01:00
IE0137A,23.483389,2013-01-11 00:00:00 +01:00
IE0137A,17.691708,2013-01-12 00:00:00 +01:00
IE0137A,43.769391,2013-01-13 00:00:00 +01:00
IE0137A,30.640055,2013-01-14 00:00:00 +01:00
IE0137A,25.067032,2013-01-15 00:00:00 +01:00
IE0137A,31.235018,2013-01-16 00:00:00 +01:00
IE0137A,15.528629,2013-01-17 00:00:00 +01:00
IE0137A,22.253862,2013-01-18 00:00:00 +01:00
IE0137A,32.257962,2013-01-19 00:00:00 +01:00
IE0137A,26.496875,2013-01-20 00:00:00 +01:00
IE0137A,64.941712,2013-01-21 00:00:00 +01:00
IE0137A,55.3444,2013-01-22 00:00:00 +01:00
IE0137A,40.489166,2013-01-23 00:00:00 +01:00
IE0137A,36.798029,2013-01-24 00:00:00 +01:00
IE0137A,20.326065,2013-01-25 00:00:00 +01:00
IE0137A,12.498327,2013-01-26 00:00:00 +01:00
IE0137A,17.904779,2013-01-27 00:00:00 +01:00
IE0137A,31.037757,2013-01-28 00:00:00 +01:00
IE0137A,26.634201,2013-01-29 00:00:00 +01:00
IE0137A,28.424595,2013-01-30 00:00:00 +01:00
IE0137A,23.2501,2013-01-31 00:00:00 +01:00
IE0137A,25.880626,2013-02-01 00:00:00 +01:00
IE0137A,31.259116,2013-02-02 00:00:00 +01:00
IE0137A,10.547165,2013-02-03 00:00:00 +01:00
IE0137A,23.657412,2013-02-04 00:00:00 +01:00
IE0137A,24.433761,2013-02-05 00:00:00 +01:00
IE0137A,42.226747,2013-02-06 00:00:00 +01:00
IE0137A,36.571314,2013-02-07 00:00:00 +01:00
IE0137A,35.509067,2013-02-08 00:00:00 +01:00
IE0137A,24.41272,2013-02-09 00:00:00 +01:00
IE0137A,21.715142,2013-02-10 00:00:00 +01:00
IE0137A,39.345712,2013-02-11 00:00:00 +01:00
IE0137A,22.27591,2013-02-12 00:00:00 +01:00
IE0137A,11.348198,2013-02-13 00:00:00 +01:00
IE0137A,22.817683,2013-02-14 00:00:00 +01:00
IE0137A,17.730866,2013-02-15 00:00:00 +01:00
IE0137A,10.012124,2013-02-16 00:00:00 +01:00
IE0137A,20.0156,2013-02-17 00:00:00 +01:00
IE0137A,26.28942,2013-02-18 00:00:00 +01:00
IE0137A,35.52825,2013-02-19 00:00:00 +01:00
IE0137A,39.847945,2013-02-20 00:00:00 +01:00
IE0137A,38.056325,2013-02-21 00:00:00 +01:00
IE0137A,25.13145,2013-02-22 00:00:00 +01:00
IE0137A,33.077679,2013-02-23 00:00:00 +01:00
IE0137A,30.67224,2013-02-24 00:00:00 +01:00
IE0137A,90.631004,2013-02-25 00:00:00 +01:00
IE0137A,47.609304,2013-02-26 00:00:00 +01:00
IE0137A,42.287625,2013-02-27 00:00:00 +01:00
IE0137A,41.787108,2013-02-28 00:00:00 +01:00
IE0137A,56.809866,2013-03-01 00:00:00 +01:00
IE0137A,68.965158,2013-03-02 00:00:00 +01:00
IE0137A,46.993487,2013-03-03 00:00:00 +01:00
IE0137A,50.26812,2013-03-04 00:00:00 +01:00
IE0137A,59.481908,2013-03-05 00:00:00 +01:00
IE0137A,0.475583,2013-03-06 00:00:00 +01:00
IE0137A,-0.500493,2013-03-07 00:00:00 +01:00
IE0137A,8.251881,2013-03-08 00:00:00 +01:00
IE0137A,11.243051,2013-03-09 00:00:00 +01:00
IE0137A,12.936972,2013-03-10 00:00:00 +01:00
IE0137A,10.107815,2013-03-11 00:00:00 +01:00
IE0137A,22.852765,2013-03-12 00:00:00 +01:00
IE0137A,20.326988,2013-03-13 00:00:00 +01:00
IE0137A,15.461214,2013-03-14 00:00:00 +01:00
IE0137A,15.606517,2013-03-15 00:00:00 +01:00
IE0137A,28.47745,2013-03-16 00:00:00 +01:00
IE0137A,18.156435,2013-03-17 00:00:00 +01:00
IE0137A,16.603932,2013-03-18 00:00:00 +01:00
IE0137A,20.007532,2013-03-19 00:00:00 +01:00
IE0137A,19.058822,2013-03-20 00:00:00 +01:00
IE0137A,10.85108,2013-03-21 00:00:00 +01:00
IE0137A,14.691348,2013-03-22 00:00:00 +01:00
IE0137A,21.664516,2013-03-23 00:00:00 +01:00
IE0137A,24.936433,2013-03-24 00:00:00 +01:00
IE0137A,25.66807,2013-03-25 00:00:00 +01:00
IE0137A,18.432437,2013-03-26 00:00:00 +01:00
IE0137A,7.675789,2013-03-27 00:00:00 +01:00
IE0137A,22.476833,2013-03-28 00:00:00 +01:00
IE0137A,4.763322,2013-03-29 00:00:00 +01:00
IE0137A,0.125233,2013-03-30 00:00:00 +01:00
IE0137A,0.204268,2013-03-31 00:00:00 +01:00
IE0137A,-0.139443,2013-04-01 00:00:00 +01:00
IE0137A,0.374551,2013-04-02 00:00:00 +01:00
IE0137A,0.183057,2013-04-03 00:00:00 +01:00
IE0137A,0.669616,2013-04-04 00:00:00 +01:00
IE0137A,0.267174,2013-04-05 00:00:00 +01:00
IE0137A,-0.072783,2013-04-06 00:00:00 +01:00
IE0137A,-0.056942,2013-04-07 00:00:00 +01:00
IE0137A,21.02801,2013-04-08 00:00:00 +01:00
IE0137A,39.652925,2013-04-09 00:00:00 +01:00
IE0137A,21.742268,2013-04-10 00:00:00 +01:00
IE0137A,8.745383,2013-04-11 00:00:00 +01:00
IE0137A,7.317654,2013-04-12 00:00:00 +01:00
IE0137A,10.683953,2013-04-13 00:00:00 +01:00
IE0137A,6.844298,2013-04-14 00:00:00 +01:00
IE0137A,9.51856,2013-04-15 00:00:00 +01:00
IE0137A,22.24701,2013-04-16 00:00:00 +01:00
IE0137A,3.49817,2013-04-17 00:00:00 +01:00
IE0137A,10.553751,2013-04-18 00:00:00 +01:00
IE0137A,14.121052,2013-04-19 00:00:00 +01:00
IE0137A,5.380433,2013-04-20 00:00:00 +01:00
IE0137A,1.284,2013-04-21 00:00:00 +01:00
IE0137A,6.480176,2013-04-22 00:00:00 +01:00
IE0137A,4.435283,2013-04-23 00:00:00 +01:00
IE0137A,1.481968,2013-04-24 00:00:00 +01:00
IE0137A,6.742883,2013-04-25 00:00:00 +01:00
IE0137A,20.297322,2013-04-26 00:00:00 +01:00
IE0137A,13.046604,2013-04-27 00:00:00 +01:00
IE0137A,17.422854,2013-04-28 00:00:00 +01:00
IE0137A,20.701637,2013-04-29 00:00:00 +01:00
IE0137A,14.49336,2013-04-30 00:00:00 +01:00
IE0137A,7.968998,2013-05-01 00:00:00 +01:00
IE0137A,9.001005,2013-05-02 00:00:00 +01:00
IE0137A,4.479638,2013-05-03 00:00:00 +01:00
IE0137A,1.800076,2013-05-04 00:00:00 +01:00
IE0137A,6.555839,2013-05-05 00:00:00 +01:00
IE0137A,10.108242,2013-05-06 00:00:00 +01:00
IE0137A,4.346001,2013-05-07 00:00:00 +01:00
IE0137A,,2013-05-08 00:00:00 +01:00
IE0137A,,2013-05-09 00:00:00 +01:00
IE0137A,,2013-05-10 00:00:00 +01:00
IE0137A,,2013-05-11 00:00:00 +01:00
IE0137A,,2013-05-12 00:00:00 +01:00
IE0137A,,2013-05-13 00:00:00 +01:00
IE0137A,,2013-05-14 00:00:00 +01:00
IE0137A,,2013-05-15 00:00:00 +01:00
IE0137A,,2013-05-16 00:00:00 +01:00
IE0137A,6.361992,2013-05-17 00:00:00 +01:00
IE0137A,3.247539,2013-05-18 00:00:00 +01:00
IE0137A,-0.465972,2013-05-19 00:00:00 +01:00
IE0137A,-0.450048,2013-05-20 00:00:00 +01:00
IE0137A,1.125032,2013-05-21 00:00:00 +01:00
IE0137A,5.93102,2013-05-22 00:00:00 +01:00
IE0137A,16.365675,2013-05-23 00:00:00 +01:00
