Name,Latitude,Longitude
AT60164,47.056,15.417
AT60170,47.042,15.433
AT90TAB,48.217,16.381
AT9STAD,48.227,16.459
AT90AKC,48.219,16.346
AT90A23,48.203,16.435
AT4S184,48.306,14.298
AT4S416,48.274,14.315
AT9KEND,48.205,16.31
AT4S431,48.303,14.283
AT60138,47.095,15.415
AT2KA21,46.624,14.318
AT90LOB,48.162,16.526
AT51000,47.798,13.054
AT2KA71,46.627,14.299
AT51200,47.817,13.031
AT72110,47.263,11.393
BETR012,50.797,4.358
BETR001,50.85,4.334
BETR701,51.058,3.729
BETR802,51.21,4.431
BEGR801,51.21,4.431
BEGR701,51.059,3.729
BETR801,51.21,4.432
BETMEU1,50.895,4.392
BEGBB15,51.214,3.233
BETB011,50.858,4.288
BETR501,50.409,4.452
BETR222,50.614,5.57
BETM204,50.612,5.611
BETR511,50.378,4.424
BETR502,50.429,4.458
BETN070,50.465,3.939
BETH201,50.625,5.547
BETR221,50.659,5.628
BG0051A,42.143,24.765
BG0046A,42.578,23.114
BG0050A,42.681,23.297
BG0020A,43.074,25.605
BG0075A,43.224,27.916
BG0039A,42.434,25.632
CY0006A,35.127,33.332
CY0005A,34.682,33.018
CZ0TOZR,49.796,18.247
CZ0TOPO,49.825,18.159
CZ0ALEG,50.072,14.431
CZ0MOLJ,49.602,17.238
CZ0PPLE,49.747,13.381
CZ0PPLS,49.746,13.321
CZ0UMOM,50.51,13.645
CZ0HHKB,50.195,15.846
CZ0EPAU,50.024,15.764
CZ0PPLB,49.728,13.376
CZ0PPLA,49.732,13.402
CZ0HHKT,50.219,15.857
CZ0LLIM,50.765,15.054
CZ0ZZLN,49.233,17.667
CZ0BBNY,49.149,16.696
CZ0PPLL,49.77,13.368
CZ0UULK,50.684,14.041
CZ0BBNI,49.213,16.678
CZ0ALIB,50.007,14.446
CZ0CCBD,48.984,14.466
CZ0ASTO,50.046,14.331
CZ0JJIH,49.402,15.61
CZ0ARIE,50.081,14.443
CZ0ASMI,50.073,14.398
CZ0SKLM,50.144,14.102
DEMV020,54.092,12.142
DEST102,51.495,11.981
DEBE065,52.514,13.47
DEBE034,52.489,13.431
DEBB044,51.756,14.328
DEBE068,52.514,13.419
DEBB073,52.389,13.095
DEBE010,52.543,13.349
DEBB045,52.337,14.539
DEBB054,52.394,13.037
DEBB087,51.754,14.326
DEBB049,52.409,12.548
DEHH064,53.564,9.945
DESN084,51.026,13.732
DEST099,52.131,11.631
DESN025,51.344,12.377
DEST075,51.475,11.983
DEBW118,48.788,9.191
DEBB055,52.42,12.552
DESN061,51.065,13.741
DEHE041,50.125,8.692
DEBB064,51.746,14.335
DEBB021,52.401,13.06
DESN083,50.846,12.903
DENW212,50.947,6.958
DESH027,54.305,10.135
DEBW147,48.489,9.211
DENW024,51.497,6.981
DENI067,52.27,8.041
DESN092,51.036,13.73
DEST077,52.128,11.611
DENI143,53.143,8.212
DEHE061,50.584,8.669
DEST050,51.496,11.979
DENI048,52.359,9.716
DEBW152,49.146,9.226
DENW022,51.534,7.102
DENI068,51.53,9.928
DEBY115,48.15,11.537
DETH083,50.977,11.326
DEHE062,50.807,8.77
DENW008,51.537,7.457
DENW100,51.17,6.459
DEHE037,50.077,8.23
DEBW098,49.493,8.472
DEHH008,53.564,9.968
DESH022,54.781,9.438
DETH020,50.979,11.038
DEBW099,48.783,9.181
DEHE059,50.55,9.685
DESN059,51.318,12.297
DEBY037,48.137,11.565
DERP010,50.001,8.261
DEMV021,54.171,12.08
DEBY021,48.769,11.429
DEHE008,50.125,8.746
DENI054,52.363,9.706
DENW114,51.278,7.232
DEHE013,51.314,9.483
DEHB002,53.06,8.917
DEBY007,48.377,10.888
DENI038,52.255,8.053
DESH023,53.835,10.696
DENW071,51.249,6.732
DERP053,49.351,8.423
DEHH059,53.508,9.991
DEHB005,53.562,8.569
DENI075,52.267,10.541
DEBW080,49.008,8.387
DEBY009,49.898,10.888
DEBY058,49.462,11.025
DERP024,50.354,7.597
DENW247,51.407,6.966
DEHE022,50.05,8.245
DEBW013,48.809,9.23
DEBY005,49.992,9.118
DEBY118,48.574,13.422
DEBW019,48.397,9.979
DESL012,49.233,6.988
DEBY039,48.155,11.555
DEBW122,47.988,7.86
DERP019,49.446,7.767
DEBY077,49.805,9.956
DEBW081,49.029,8.356
DERP009,49.995,8.274
DEBY099,48.326,10.903
DEBY089,48.173,11.648
DEBW033,48.889,8.666
DEBW107,48.508,9.051
DENI042,51.551,9.95
DEBW084,48.002,7.832
DK0034A,55.674,12.571
DK0030A,55.698,12.553
DK0045A,55.7,12.561
DK0056A,56.16,10.194
EE0021A,58.371,26.735
EE0022A,59.376,28.179
EE0018A,59.414,24.649
ES0559A,41.388,2.165
ES1438A,41.385,2.154
ES1957A,43.383,-8.409
ES1619A,39.478,-0.368
ES1480A,41.399,2.154
ES0691A,41.404,2.205
ES1272A,43.53,-5.68
ES0567A,41.385,2.12
ES1915A,38.34,-0.507
ES1856A,41.426,2.148
ES0118A,40.422,-3.682
ES1525A,40.445,-3.706
ES2010A,41.63,-4.741
ES1641A,41.635,-0.894
ES1926A,39.481,-0.408
ES1632A,41.621,-4.747
ES1940A,40.466,-3.688
ES1885A,39.48,-0.336
ES1937A,40.398,-3.687
ES1818A,39.868,-4.021
ES1938A,40.44,-3.69
ES1974A,43.517,-5.671
ES1492A,42.856,-2.668
ES1472A,42.807,-1.651
ES1573A,28.111,-15.432
ES1752A,40.454,-3.483
ES1914A,38.455,-0.803
ES1631A,41.646,-4.73
ES1193A,40.42,-3.749
ES1697A,43.309,-2.011
ES1239A,39.456,-0.376
ES1494A,43.323,-1.96
ES2003A,28.455,-16.277
ES1890A,40.342,-3.834
ES1615A,39.473,-6.36
ES1955A,28.968,-13.556
ES1988A,42.575,-5.566
ES1673A,42.844,-2.661
ES1975A,28.458,-16.279
FI00564,60.17,24.939
FI00781,60.224,25.102
FI00370,60.29,25.04
FI00425,60.187,24.951
FI00841,60.22,24.811
FI00889,60.991,25.666
FI00446,65.01,25.471
FI00801,61.499,23.802
FI00363,62.894,27.67
FR04058,48.925,2.357
FR04329,48.839,2.413
FR11034,50.707,3.181
FR20013,45.72,4.818
FR08030,43.61,3.899
FR01011,49.119,6.181
FR16038,48.57,7.772
FR10004,51.049,2.421
FR04122,48.528,2.654
FR11025,50.628,3.09
FR06001,50.359,3.508
FR04143,48.859,2.351
FR33201,45.895,6.118
FR10029,50.996,2.366
FR18089,49.436,2.084
FR14011,49.251,4.023
FR03006,43.276,5.398
FR08016,43.592,3.887
FR24035,43.689,7.242
FR03043,43.305,5.395
FR10016,50.947,1.843
FR36002,44.934,4.893
FR20062,45.758,4.854
FR36003,44.949,4.89
FR12054,43.643,1.468
FR34014,47.918,1.966
FR82006,47.247,6.015
FR04156,48.902,2.452
FR08614,43.834,4.374
FR06003,50.374,3.071
FR04002,48.93,2.295
FR23140,47.204,-1.553
FR30034,48.688,6.19
FR25037,49.441,1.083
FR24036,43.702,7.286
FR25048,49.428,1.058
FR30036,48.696,6.146
FR19012,48.386,-4.487
FR18043,49.26,2.474
FR82010,47.51,6.794
FR25036,49.442,1.094
FR14012,49.224,4.021
FR05089,49.5,0.111
FR23182,47.971,0.221
FR15043,45.162,5.736
FR31002,44.801,-0.588
FR23120,47.469,-0.556
FR34024,47.344,0.654
FR05074,49.49,0.101
FR04034,48.776,2.376
FR03080,43.95,4.805
FR33211,46.196,6.241
FR23188,47.223,-1.538
FR07034,45.776,3.096
FR19002,48.109,-1.666
FR16066,47.737,7.309
FR19032,47.742,-3.395
FR03029,43.53,5.441
FR09404,46.584,0.346
FR21001,49.192,-0.391
FR34042,48.439,1.469
FR09203,46.162,-1.211
FR12030,43.587,1.444
FR33212,46.194,6.215
FR31007,44.9,-0.515
FR26039,47.316,5.037
FR31013,43.311,-0.391
FR09019,46.33,-0.459
FR29424,45.42,4.395
FR07004,45.797,3.114
FR39007,14.61,-61.055
FR23110,47.264,-2.25
FR09103,45.647,0.167
FR35003,45.831,1.257
FR09003,46.163,-1.154
FR31016,43.48,-1.488
FR29426,45.475,4.515
FR19033,47.649,-2.764
GB0682A,51.523,-0.155
GB0608A,51.466,0.185
GB0620A,51.521,-0.213
GB0637A,51.599,-0.068
GB0660A,53.485,-2.334
GB0636A,51.544,-0.175
GB0598A,50.908,-1.396
GB0566A,51.522,-0.126
GB0926A,53.82,-1.576
GB0864A,53.549,-2.638
GB0924A,51.518,0.44
GB0733A,50.829,-1.069
GB0960A,52.512,-1.831
GB0919A,53.952,-1.076
GB1007A,51.374,0.548
GB0851A,52.512,-1.831
GB0658A,53.028,-2.175
GB1026A,52.62,-1.127
GB0584A,53.804,-1.546
GB0643A,52.289,-1.533
GB0896A,51.633,-3.947
GB0959A,51.617,-0.299
GB1013A,52.437,-1.83
GB0918A,53.968,-1.087
GB0776A,53.749,-0.341
GB1027A,53.379,-1.478
GB1005A,50.806,0.272
GB0646A,52.955,-1.146
GB0731A,53.766,-2.68
GB0962A,51.601,-2.977
GB0995A,52.614,1.302
GB0673A,55.001,-7.329
GB0613A,53.482,-2.238
GB0586A,51.453,0.071
GB0580A,51.482,-3.176
GB0928A,53.232,-1.457
GB0925A,54.895,-2.945
GB1018A,52.295,-1.543
GB0743A,51.495,-0.132
GB0956A,54.517,-1.359
GB0567A,54.6,-5.929
GB0863A,54.884,-1.407
GB0729A,57.157,-2.094
GB0860A,50.841,-0.148
GB0568A,54.978,-1.611
GB0755A,53.042,-3.003
GB0741A,50.74,-1.827
GB1019A,52.272,-0.88
GB1028A,55.866,-4.244
HU0022A,47.431,19.184
HU0025A,47.676,17.65
HU0057A,46.267,20.153
HU0024A,47.685,17.639
IE0105A,53.347,-6.267
IT1739A,45.142,10.046
IT1743A,45.581,9.274
IT1692A,45.478,9.236
IT1016A,45.47,9.198
IT1737A,45.515,10.219
IT0470A,45.104,7.695
IT2168A,45.025,7.649
IT1453A,45.372,11.842
IT1153A,45.133,10.017
IT1877A,45.042,7.626
IT0912A,45.194,9.165
IT1177A,45.561,11.54
IT1650A,45.627,9.024
IT1343A,45.462,10.912
IT1728A,42.552,12.652
IT0963A,45.499,12.262
IT1365A,42.582,12.624
IT0707A,45.69,9.644
IT0935A,40.923,14.782
IT0594A,45.541,10.224
IT1588A,45.817,8.82
IT1975A,45.038,9.669
IT1487A,41.082,14.338
IT0934A,41.133,14.782
IT0825A,41.948,12.47
IT1043A,44.062,12.553
